Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Basic,Chrome 73.0.3683.103,,,2019-05-01 14:03:45,2019-05-01 14:03:58,13.018s,PASSED
,,,,,,,
Test Cases/AuthentificationCustomer,Chrome 73.0.3683.103,,,2019-05-01 14:03:45,2019-05-01 14:03:53,7.457s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-05-01 14:03:46,2019-05-01 14:03:50,4.075s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 73.0.3683.103,,,2019-05-01 14:03:50,2019-05-01 14:03:50,0.813s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Account""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:50,2019-05-01 14:03:51,0.129s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Log in""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:51,2019-05-01 14:03:51,0.614s,PASSED
"setText(findTestObject(""Object Repository/Page_Please sign in/input_Username_username""), ""exorcist0"")",Chrome 73.0.3683.103,,,2019-05-01 14:03:51,2019-05-01 14:03:51,0.157s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Please sign in/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.103,,,2019-05-01 14:03:51,2019-05-01 14:03:52,0.187s,PASSED
"click(findTestObject(""Object Repository/Page_Please sign in/button_Sign in""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:52,2019-05-01 14:03:52,0.292s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_exorcist0""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:52,2019-05-01 14:03:52,0.076s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Disconnect""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:52,2019-05-01 14:03:52,0.110s,PASSED
"click(findTestObject(""Object Repository/Page_Confirm Log Out/button_Log Out""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:52,2019-05-01 14:03:52,0.129s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-05-01 14:03:52,2019-05-01 14:03:53,0.562s,PASSED
,,,,,,,
Test Cases/AuthentificationExorcist,Chrome 73.0.3683.103,,,2019-05-01 14:03:53,2019-05-01 14:03:58,5.328s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-05-01 14:03:53,2019-05-01 14:03:55,2.373s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 73.0.3683.103,,,2019-05-01 14:03:55,2019-05-01 14:03:56,0.853s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Account""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:56,2019-05-01 14:03:56,0.100s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Log in""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:56,2019-05-01 14:03:57,0.255s,PASSED
"setText(findTestObject(""Page_Please sign in/input_Username_username""), ""customer"")",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.148s,PASSED
"setEncryptedText(findTestObject(""Page_Please sign in/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.112s,PASSED
"click(findTestObject(""Page_Please sign in/button_Sign in""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.268s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_customer""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.116s,PASSED
"click(findTestObject(""Object Repository/Page_Holygram/a_Disconnect""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.156s,PASSED
"click(findTestObject(""Page_Confirm Log Out/button_Log Out""))",Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:57,0.149s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-05-01 14:03:57,2019-05-01 14:03:58,0.563s,PASSED
